a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-3
acl 2.3.1-1
acpi 1.7-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.1.1-1
alacritty 0.9.0-1
alsa-card-profiles 1:0.3.38-1
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
amd-ucode 20210919.d526e04-1
android-studio 2020.3.1.24-1
aom 3.1.2-2
apparmor 3.0.3-1
appstream 0.14.5-2
appstream-glib 0.7.18-2
appstream-qt 0.14.5-2
archlinux-appstream-data 20210929-1
archlinux-keyring 20210902-1
argon2 20190702-3
asciidoc 9.1.1-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
attica 5.86.0-2
attr 2.5.1-1
audiofile 0.3.6-6
audit 3.0.5-1
autoconf 2.71-1
automake 1.16.4-1
avahi 0.8+22+gfd482a7-1
bamf 0.5.5-1
base 2-2
bash 5.1.008-1
bash-completion 2.11-2
bc 1.07.1-4
betterlockscreen 4.0.3-2
bind 9.16.21-1
binutils 2.36.1-3
bison 3.8.1-1
blackarch-keyring 20180925-3
blanket 0.5.0-1
blas 3.10.0-1
blueman 2.2.2-1
bluez 5.61-1
bluez-libs 5.61-1
boost 1.76.0-1
boost-libs 1.76.0-1
box2d 2.4.1-1
breeze-icons 5.86.0-1
brotli 1.0.9-4
bspwm 0.9.10-1
btrfs-progs 5.14.1-1
bubblewrap 0.5.0-1
burpsuite 1:2021.8.3-1
bzip2 1.0.8-4
c-ares 1.17.2-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.70-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
calculator-git 0.2-1
caligator-bin 0.0.1-1
candy-icons-git r673.98c1771-1
cantarell-fonts 1:0.303-1
carla 2.4.0-1
cblas 3.10.0-1
cdparanoia 10.2-8
celt 0.11.3-4
chromaprint 1.5.0-3
cifs-utils 6.14-1
clucene 2.3.3.4-11
clutter 1.26.4-1
clutter-gst 3.0.27-3
clutter-gtk 1.8.4-2
cmake 3.21.3-1
cogl 1.22.8-1
colord 1.4.5-4
convertlit 1.8-10
coreutils 9.0-1
cpufetch 1.00-1
cronie 1.5.7-2
cryptsetup 2.4.1-1
cups 1:2.3.3op2-3
cups-filters 1.28.10-1
cups-pdf 3.0.1-6
curl 7.79.1-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-1
dconf 0.40.0-1
debtap 3.4.2-1
desktop-file-utils 0.26-1
device-mapper 2.03.13-1
dialog 1:1.3_20210621-1
diffutils 3.8-1
dkms 2.8.6-2
dmenu 5.0-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dockbarx 1:1.0beta+r858+d98020e-1
dosfstools 4.2-1
double-conversion 3.1.5-2
dunst 1.6.1-2
e2fsprogs 1.46.4-1
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.5-1
efibootmgr 17-2
efivar 37-4
egl-wayland 1:1.1.7-1
eglexternalplatform 1.1-2
elcalc 6.1.3-1
elfutils 0.185-1
enchant 2.3.1-1
exfat-utils 1.3.0-2
exiv2 0.27.4-2
expat 2.4.1-1
faad2 2.10.0-1
fakeroot 1.26-1
falkon 3.1.0-15
faudio 21.10-1
feh 3.7.2-1
ffmpeg 2:4.4-4
fftw 3.3.10-1
file 5.40-6
filesystem 2021.05.31-1
findutils 4.8.0-1
firefox 92.0.1-1
flac 1.3.3-3
flatpak 1.11.3-1
flex 2.6.4-3
flightgear 2020.3.8-1
fluidsynth 2.2.3-1
fontconfig 2:2.13.94-1
foomatic-db-engine 4:20200206-1
frameworkintegration 5.86.0-1
freealut 1.1.0-8
freedownloadmanager 6.15.2.4167-1
freeglut 3.2.1-2
freetype2 2.11.0-4
fribidi 1.0.10-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
fuseiso 20070708-8
gawk 5.1.0-1
gc 8.0.4-4
gcab 1.4-1
gcc 11.1.0-1
gcc-libs 11.1.0-1
gcr 3.40.0-1
gd 2.3.3-2
gdbm 1.21-1
gdk-pixbuf2 2.42.6-2
geoclue 2.5.7-4
geocode-glib 3.26.2-1
gettext 0.21-1
ghc 8.10.5-1
